item	total	count part-1	specif part-1	count part-2	specif part-2
задачы	6	0	-2.71	6	2.71
500	6	0	-2.71	6	2.71
350	6	0	-2.71	6	2.71
сумнеў	6	0	-2.71	6	2.71
master	6	0	-2.71	6	2.71
выкарыстання	6	0	-2.71	6	2.71
on	6	0	-2.71	6	2.71
смартфоны	6	0	-2.71	6	2.71
экрана	6	0	-2.71	6	2.71
фірма	6	0	-2.71	6	2.71
hot	6	0	-2.71	6	2.71
nomos	5	5	0.95	0	-0.95
ажыццяўленне	5	5	0.95	0	-0.95
дадзена	5	5	0.95	0	-0.95
рэлігійная	5	5	0.95	0	-0.95
супольнасць	5	5	0.95	0	-0.95
адзінак	5	4	0.51	1	-0.51
супольнасцямі	5	5	0.95	0	-0.95
развіццё	5	5	0.95	0	-0.95
грунтуецца	5	5	0.95	0	-0.95
заканадаўчых	5	5	0.95	0	-0.95
актах	5	5	0.95	0	-0.95
правамі	5	5	0.95	0	-0.95
газеты	5	5	0.95	0	-0.95
мовах	5	5	0.95	0	-0.95
створаны	5	5	0.95	0	-0.95
электрычных	5	4	0.51	1	-0.51
дзеянні	5	3	0.47	2	0.47
проста	5	5	0.95	0	-0.95
сабой	5	5	0.95	0	-0.95
машыны	5	2	-0.73	3	0.73
дзейнічаюць	5	5	0.95	0	-0.95
амаль	5	3	0.47	2	0.47
аўтанамізму	5	5	0.95	0	-0.95
рух	5	5	0.95	0	-0.95
палітыку	5	5	0.95	0	-0.95
апошніх	5	5	0.95	0	-0.95
каталоніі	5	5	0.95	0	-0.95
тысячы	5	5	0.95	0	-0.95
падтрымку	5	5	0.95	0	-0.95
ўзялі	5	4	0.51	1	-0.51
наш	5	5	0.95	0	-0.95
ежы	5	3	0.47	2	0.47
федэральнага	5	5	0.95	0	-0.95
ўрада	5	5	0.95	0	-0.95
людзі	5	4	0.51	1	-0.51
ўсе	5	5	0.95	0	-0.95
рабіць	5	5	0.95	0	-0.95
прадстаўнікоў	5	3	0.47	2	0.47
адпаведна	5	3	0.47	2	0.47
часта	5	2	-0.73	3	0.73
некаторых	5	4	0.51	1	-0.51
пражываюць	5	5	0.95	0	-0.95
такія	5	4	0.51	1	-0.51
статусу	5	5	0.95	0	-0.95
межаў	5	5	0.95	0	-0.95
пачалася	5	5	0.95	0	-0.95
пяць	5	4	0.51	1	-0.51
мэтай	5	3	0.47	2	0.47
зямель	5	5	0.95	0	-0.95
наяўнасць	5	5	0.95	0	-0.95
зразумець	5	5	0.95	0	-0.95
15	5	3	0.47	2	0.47
адукацыя	5	5	0.95	0	-0.95
карыстаецца	5	4	0.51	1	-0.51
застаюцца	5	3	0.47	2	0.47
продаж	5	2	-0.73	3	0.73
прагаласавала	5	5	0.95	0	-0.95
усяго	5	3	0.47	2	0.47
двух	5	4	0.51	1	-0.51
мясцовай	5	5	0.95	0	-0.95
агульная	5	3	0.47	2	0.47
прынцыпу	5	5	0.95	0	-0.95
даецца	5	5	0.95	0	-0.95
в	5	2	-0.73	3	0.73
беларуская	5	3	0.47	2	0.47
18	5	4	0.51	1	-0.51
загадзя	5	1	-1.30	4	1.30
далі	5	5	0.95	0	-0.95
краі	5	3	0.47	2	0.47
дэпутатаў	5	5	0.95	0	-0.95
зацвярджэння	5	2	-0.73	3	0.73
ўплывае	5	4	0.51	1	-0.51
25	5	4	0.51	1	-0.51
сакавіка	5	5	0.95	0	-0.95
сучаснай	5	4	0.51	1	-0.51
валодае	5	5	0.95	0	-0.95
мове	5	5	0.95	0	-0.95
менску	5	5	0.95	0	-0.95
жыцьцём	5	5	0.95	0	-0.95
арганізацыя	5	5	0.95	0	-0.95
красавіка	5	5	0.95	0	-0.95
маскве	5	5	0.95	0	-0.95
70	5	3	0.47	2	0.47
шэраг	5	4	0.51	1	-0.51
актыўную	5	5	0.95	0	-0.95
фэдэральная	5	5	0.95	0	-0.95
інфармацыя	5	2	-0.73	3	0.73
адпавядае	5	1	-1.30	4	1.30
рэчаў	5	5	0.95	0	-0.95
узровень	5	4	0.51	1	-0.51
сурмач	5	5	0.95	0	-0.95
сказаў	5	5	0.95	0	-0.95
зьяўляецца	5	5	0.95	0	-0.95
сказаць	5	5	0.95	0	-0.95
стваралі	5	5	0.95	0	-0.95
міністэрства	5	5	0.95	0	-0.95
грошы	5	2	-0.73	3	0.73
пытаньне	5	3	0.47	2	0.47
тэрыторыя	5	5	0.95	0	-0.95
1921	5	5	0.95	0	-0.95
беларускі	5	5	0.95	0	-0.95
